PoolNumber,SampleNumber,SampleName
131651,131555,1_A_1
131651,131556,1_B_1
131651,131557,1_C_1
131651,131558,1_D_1
131651,131559,1_E_1
131651,131560,1_F_1
131651,131561,1_G_1
131651,131562,1_H_1
131651,131563,1_A_2
131651,131564,1_B_2
131651,131565,1_C_2
131651,131566,1_D_2
131651,131567,1_E_2
131651,131568,1_F_2
131651,131569,1_G_2
131651,131570,1_H_2
131651,131571,1_A_3
131651,131572,1_B_3
131651,131573,1_C_3
131651,131574,1_D_3
131651,131575,1_E_3
131651,131576,1_F_3
131651,131577,1_G_3
131651,131578,1_H_3
131651,131579,1_A_4
131651,131580,1_B_4
131651,131581,1_C_4
131651,131582,1_D_4
131651,131583,1_E_4
131651,131584,1_F_4
131651,131585,1_G_4
131651,131586,1_H_4
131651,131587,1_A_5
131651,131588,1_B_5
131651,131589,1_C_5
131651,131590,1_D_5
131651,131591,1_E_5
131651,131592,1_F_5
131651,131593,1_G_5
131651,131594,1_H_5
131651,131595,1_A_6
131651,131596,1_B_6
131651,131597,1_C_6
131651,131598,1_D_6
131651,131599,1_E_6
131651,131600,1_F_6
131651,131601,1_G_6
131651,131602,1_H_6
131651,131603,1_A_7
131651,131604,1_B_7
131651,131605,1_C_7
131651,131606,1_D_7
131651,131607,1_E_7
131651,131608,1_F_7
131651,131609,1_G_7
131651,131610,1_H_7
131651,131611,1_A_8
131651,131612,1_B_8
131651,131613,1_C_8
131651,131614,1_D_8
131651,131615,1_E_8
131651,131616,1_F_8
131651,131617,1_G_8
131651,131618,1_H_8
131651,131619,1_A_9
131651,131620,1_B_9
131651,131621,1_C_9
131651,131622,1_D_9
131651,131623,1_E_9
131651,131624,1_F_9
131651,131625,1_G_9
131651,131626,1_H_9
131651,131627,1_A_10
131651,131628,1_B_10
131651,131629,1_C_10
131651,131630,1_D_10
131651,131631,1_E_10
131651,131632,1_F_10
131651,131633,1_G_10
131651,131634,1_H_10
131651,131635,1_A_11
131651,131636,1_B_11
131651,131637,1_C_11
131651,131638,1_D_11
131651,131639,1_E_11
131651,131640,1_F_11
131651,131641,1_G_11
131651,131642,1_H_11
131651,131643,1_A_12
131651,131644,1_B_12
131651,131645,1_C_12
131651,131646,1_D_12
131651,131647,1_E_12
131651,131648,1_F_12
131651,131649,1_G_12
131651,131650,1_H_12
131748,131652,2_A_1
131748,131653,2_B_1
131748,131654,2_C_1
131748,131655,2_D_1
131748,131656,2_E_1
131748,131657,2_F_1
131748,131658,2_G_1
131748,131659,2_H_1
131748,131660,2_A_2
131748,131661,2_B_2
131748,131662,2_C_2
131748,131663,2_D_2
131748,131664,2_E_2
131748,131665,2_F_2
131748,131666,2_G_2
131748,131667,2_H_2
131748,131668,2_A_3
131748,131669,2_B_3
131748,131670,2_C_3
131748,131671,2_D_3
131748,131672,2_E_3
131748,131673,2_F_3
131748,131674,2_G_3
131748,131675,2_H_3
131748,131676,2_A_4
131748,131677,2_B_4
131748,131678,2_C_4
131748,131679,2_D_4
131748,131680,2_E_4
131748,131681,2_F_4
131748,131682,2_G_4
131748,131683,2_H_4
131748,131684,2_A_5
131748,131685,2_B_5
131748,131686,2_C_5
131748,131687,2_D_5
131748,131688,2_E_5
131748,131689,2_F_5
131748,131690,2_G_5
131748,131691,2_H_5
131748,131692,2_A_6
131748,131693,2_B_6
131748,131694,2_C_6
131748,131695,2_D_6
131748,131696,2_E_6
131748,131697,2_F_6
131748,131698,2_G_6
131748,131699,2_H_6
131748,131700,2_A_7
131748,131701,2_B_7
131748,131702,2_C_7
131748,131703,2_D_7
131748,131704,2_E_7
131748,131705,2_F_7
131748,131706,2_G_7
131748,131707,2_H_7
131748,131708,2_A_8
131748,131709,2_B_8
131748,131710,2_C_8
131748,131711,2_D_8
131748,131712,2_E_8
131748,131713,2_F_8
131748,131714,2_G_8
131748,131715,2_H_8
131748,131716,2_A_9
131748,131717,2_B_9
131748,131718,2_C_9
131748,131719,2_D_9
131748,131720,2_E_9
131748,131721,2_F_9
131748,131722,2_G_9
131748,131723,2_H_9
131748,131724,2_A_10
131748,131725,2_B_10
131748,131726,2_C_10
131748,131727,2_D_10
131748,131728,2_E_10
131748,131729,2_F_10
131748,131730,2_G_10
131748,131731,2_H_10
131748,131732,2_A_11
131748,131733,2_B_11
131748,131734,2_C_11
131748,131735,2_D_11
131748,131736,2_E_11
131748,131737,2_F_11
131748,131738,2_G_11
131748,131739,2_H_11
131748,131740,2_A_12
131748,131741,2_B_12
131748,131742,2_C_12
131748,131743,2_D_12
131748,131744,2_E_12
131748,131745,2_F_12
131748,131746,2_G_12
131748,131747,2_H_12
131845,131749,3_A_1
131845,131750,3_B_1
131845,131751,3_C_1
131845,131752,3_D_1
131845,131753,3_E_1
131845,131754,3_F_1
131845,131755,3_G_1
131845,131756,3_H_1
131845,131757,3_A_2
131845,131758,3_B_2
131845,131759,3_C_2
131845,131760,3_D_2
131845,131761,3_E_2
131845,131762,3_F_2
131845,131763,3_G_2
131845,131764,3_H_2
131845,131765,3_A_3
131845,131766,3_B_3
131845,131767,3_C_3
131845,131768,3_D_3
131845,131769,3_E_3
131845,131770,3_F_3
131845,131771,3_G_3
131845,131772,3_H_3
131845,131773,3_A_4
131845,131774,3_B_4
131845,131775,3_C_4
131845,131776,3_D_4
131845,131777,3_E_4
131845,131778,3_F_4
131845,131779,3_G_4
131845,131780,3_H_4
131845,131781,3_A_5
131845,131782,3_B_5
131845,131783,3_C_5
131845,131784,3_D_5
131845,131785,3_E_5
131845,131786,3_F_5
131845,131787,3_G_5
131845,131788,3_H_5
131845,131789,3_A_6
131845,131790,3_B_6
131845,131791,3_C_6
131845,131792,3_D_6
131845,131793,3_E_6
131845,131794,3_F_6
131845,131795,3_G_6
131845,131796,3_H_6
131845,131797,3_A_7
131845,131798,3_B_7
131845,131799,3_C_7
131845,131800,3_D_7
131845,131801,3_E_7
131845,131802,3_F_7
131845,131803,3_G_7
131845,131804,3_H_7
131845,131805,3_A_8
131845,131806,3_B_8
131845,131807,3_C_8
131845,131808,3_D_8
131845,131809,3_E_8
131845,131810,3_F_8
131845,131811,3_G_8
131845,131812,3_H_8
131845,131813,3_A_9
131845,131814,3_B_9
131845,131815,3_C_9
131845,131816,3_D_9
131845,131817,3_E_9
131845,131818,3_F_9
131845,131819,3_G_9
131845,131820,3_H_9
131845,131821,3_A_10
131845,131822,3_B_10
131845,131823,3_C_10
131845,131824,3_D_10
131845,131825,3_E_10
131845,131826,3_F_10
131845,131827,3_G_10
131845,131828,3_H_10
131845,131829,3_A_11
131845,131830,3_B_11
131845,131831,3_C_11
131845,131832,3_D_11
131845,131833,3_E_11
131845,131834,3_F_11
131845,131835,3_G_11
131845,131836,3_H_11
131845,131837,3_A_12
131845,131838,3_B_12
131845,131839,3_C_12
131845,131840,3_D_12
131845,131841,3_E_12
131845,131842,3_F_12
131845,131843,3_G_12
131845,131844,3_H_12
131942,131846,4_A_1
131942,131847,4_B_1
131942,131848,4_C_1
131942,131849,4_D_1
131942,131850,4_E_1
131942,131851,4_F_1
131942,131852,4_G_1
131942,131853,4_H_1
131942,131854,4_A_2
131942,131855,4_B_2
131942,131856,4_C_2
131942,131857,4_D_2
131942,131858,4_E_2
131942,131859,4_F_2
131942,131860,4_G_2
131942,131861,4_H_2
131942,131862,4_A_3
131942,131863,4_B_3
131942,131864,4_C_3
131942,131865,4_D_3
131942,131866,4_E_3
131942,131867,4_F_3
131942,131868,4_G_3
131942,131869,4_H_3
131942,131870,4_A_4
131942,131871,4_B_4
131942,131872,4_C_4
131942,131873,4_D_4
131942,131874,4_E_4
131942,131875,4_F_4
131942,131876,4_G_4
131942,131877,4_H_4
131942,131878,4_A_5
131942,131879,4_B_5
131942,131880,4_C_5
131942,131881,4_D_5
131942,131882,4_E_5
131942,131883,4_F_5
131942,131884,4_G_5
131942,131885,4_H_5
131942,131886,4_A_6
131942,131887,4_B_6
131942,131888,4_C_6
131942,131889,4_D_6
131942,131890,4_E_6
131942,131891,4_F_6
131942,131892,4_G_6
131942,131893,4_H_6
131942,131894,4_A_7
131942,131895,4_B_7
131942,131896,4_C_7
131942,131897,4_D_7
131942,131898,4_E_7
131942,131899,4_F_7
131942,131900,4_G_7
131942,131901,4_H_7
131942,131902,4_A_8
131942,131903,4_B_8
131942,131904,4_C_8
131942,131905,4_D_8
131942,131906,4_E_8
131942,131907,4_F_8
131942,131908,4_G_8
131942,131909,4_H_8
131942,131910,4_A_9
131942,131911,4_B_9
131942,131912,4_C_9
131942,131913,4_D_9
131942,131914,4_E_9
131942,131915,4_F_9
131942,131916,4_G_9
131942,131917,4_H_9
131942,131918,4_A_10
131942,131919,4_B_10
131942,131920,4_C_10
131942,131921,4_D_10
131942,131922,4_E_10
131942,131923,4_F_10
131942,131924,4_G_10
131942,131925,4_H_10
131942,131926,4_A_11
131942,131927,4_B_11
131942,131928,4_C_11
131942,131929,4_D_11
131942,131930,4_E_11
131942,131931,4_F_11
131942,131932,4_G_11
131942,131933,4_H_11
131942,131934,4_A_12
131942,131935,4_B_12
131942,131936,4_C_12
131942,131937,4_D_12
131942,131938,4_E_12
131942,131939,4_F_12
131942,131940,4_G_12
131942,131941,4_H_12
132039,131943,5_A_1
132039,131944,5_B_1
132039,131945,5_C_1
132039,131946,5_D_1
132039,131947,5_E_1
132039,131948,5_F_1
132039,131949,5_G_1
132039,131950,5_H_1
132039,131951,5_A_2
132039,131952,5_B_2
132039,131953,5_C_2
132039,131954,5_D_2
132039,131955,5_E_2
132039,131956,5_F_2
132039,131957,5_G_2
132039,131958,5_H_2
132039,131959,5_A_3
132039,131960,5_B_3
132039,131961,5_C_3
132039,131962,5_D_3
132039,131963,5_E_3
132039,131964,5_F_3
132039,131965,5_G_3
