exp.freq,freq,TP,sensitivity,FP,gc_ul,PPV
0.1,0.1,35,1,0,4.50E+04,1
0.05,0.05,35,1,0,4.50E+04,1
0.02,0.02,21,0.6,0,4.50E+04,1
0.01,0.01,6,0.17,0,4.50E+04,1
0.1,0.1,35,1,0,9.00E+03,1
0.05,0.05,33,0.94,0,9.00E+03,1
0.02,0.02,17,0.49,0,9.00E+03,1
0.01,0.01,2,0.06,0,9.00E+03,1
0.1,0.1,31,0.89,0,9.00E+02,1
0.05,0.05,29,0.83,0,9.00E+02,1
0.02,0.02,14,0.4,0,9.00E+02,1
0.01,0.01,0,0,0,9.00E+02,1
0.1,0.1,31,0.89,7,9.00E+00,0.815789474
0.05,0.05,29,0.83,9,9.00E+00,0.763157895
0.02,0.02,14,0.4,14,9.00E+00,0.5
0.01,0.01,0,0,4,9.00E+00,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
