accession	classification	samplingFrame	paper	length
AY184220	Sabin2	Sabin 2	Mutations in Sabin 2 strain of poliovirus and stability ofattenuation phenotype 	71
KC784367	VDPV	environmental	Highly Divergent Types 2 and 3 Vaccine-Derived PoliovirusesIsolated from Sewage in Tallinn, Estonia 	71
FJ460224	VDPV	healthy	Comparison of poliovirus recombinants: accumulation of pointmutations provides further advantages 	71
FJ460223	VDPV	healthy	Comparison of poliovirus recombinants: accumulation of pointmutations provides further advantages 	71
KC784368	VDPV	environmental	Highly Divergent Types 2 and 3 Vaccine-Derived PoliovirusesIsolated from Sewage in Tallinn, Estonia 	71
JX275140	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275071	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275032	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
DQ890386	VDPV	AFP	Isolation of recombinant type 2 vaccine-derived poliovirus (VDPV)from a Nigerian child 	71
AF448783	cVDPV	AFP	Circulation of endemic type 2 vaccine-derived poliovirus in Egyptfrom 1983 to 1993 	71
KX162714	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162686	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
JX275380	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275352	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275266	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275238	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275184	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275162	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX275085	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
JX274987	cVDPV	AFP	Multiple Independent Emergences of Type 2 Vaccine-DerivedPolioviruses during a Large Outbreak in Northern Nigeria 	71
GU390707	iVDPV	AFP	Brief Report: Neuroinvasive Immunodeficiency-Associated Vaccine-Derived Poliomyelitis Thirteen Years after Infection -Minnesota, 2008 	71
AY948201	VDPV	AFP	Characterization of a rare natural intertypic type 2/type 3 penta-recombinant vaccine-derived poliovirus isolated from a childwith acute flaccid paralysis 	71
AY238473	MEF1	MEF1	Evaluation of immunogenicity and protective properties of inactivated poliovirus vaccines: a new surrogate method forpredicting vaccine efficacy 	71
M12197	Lansing	Lansing	Mapping of sequences required for mouse neurovirulence ofpoliovirus type 2 Lansing 	71
KX162717	SabinLike	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162716	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162715	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162713	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162712	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162706	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162705	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162704	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162703	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162702	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162701	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
KX162700	cVDPV	AFP	High-Throughput Next Generation Sequencing of Polioviruses	71
