"","bin","chr","start","end","Id","mean"
"1",126,"Sabin2ref",101,151,"131557",609.26
"2",176,"Sabin2ref",151,201,"131557",1800.42
"3",226,"Sabin2ref",201,251,"131557",2748.06
"4",276,"Sabin2ref",251,301,"131557",3371.1
"5",326,"Sabin2ref",301,351,"131557",4087.24
"6",376,"Sabin2ref",351,401,"131557",4366.5
"7",426,"Sabin2ref",401,451,"131557",4715.18
"8",476,"Sabin2ref",451,501,"131557",4866.7
"9",526,"Sabin2ref",501,551,"131557",4630.92
"10",576,"Sabin2ref",551,601,"131557",4781.16
"11",626,"Sabin2ref",601,651,"131557",5110.46
"12",676,"Sabin2ref",651,701,"131557",5238.54
"13",726,"Sabin2ref",701,751,"131557",5403.18
"14",776,"Sabin2ref",751,801,"131557",5234.32
"15",826,"Sabin2ref",801,851,"131557",3693.74
"16",876,"Sabin2ref",851,901,"131557",3498.48
"17",926,"Sabin2ref",901,951,"131557",3804.1
"18",976,"Sabin2ref",951,1001,"131557",4048.56
"19",1026,"Sabin2ref",1001,1051,"131557",4272.74
"20",1076,"Sabin2ref",1051,1101,"131557",4567.4
"21",1126,"Sabin2ref",1101,1151,"131557",4480.5
"22",1176,"Sabin2ref",1151,1201,"131557",4520.18
"23",1226,"Sabin2ref",1201,1251,"131557",4588.44
"24",1276,"Sabin2ref",1251,1301,"131557",4775.22
"25",1326,"Sabin2ref",1301,1351,"131557",4792.64
"26",1376,"Sabin2ref",1351,1401,"131557",5047.98
"27",1426,"Sabin2ref",1401,1451,"131557",4900.96
"28",1476,"Sabin2ref",1451,1501,"131557",5278.36
"29",1526,"Sabin2ref",1501,1551,"131557",6240
"30",1576,"Sabin2ref",1551,1601,"131557",6969.48
"31",1626,"Sabin2ref",1601,1651,"131557",7512.52
"32",1676,"Sabin2ref",1651,1701,"131557",8874.62
"33",1726,"Sabin2ref",1701,1751,"131557",9471.3
"34",1776,"Sabin2ref",1751,1801,"131557",9535.04
"35",1826,"Sabin2ref",1801,1851,"131557",9310.86
"36",1876,"Sabin2ref",1851,1901,"131557",9334.82
"37",1926,"Sabin2ref",1901,1951,"131557",8654.3
"38",1976,"Sabin2ref",1951,2001,"131557",8461.76
"39",2026,"Sabin2ref",2001,2051,"131557",8932.74
"40",2076,"Sabin2ref",2051,2101,"131557",9595.52
"41",2126,"Sabin2ref",2101,2151,"131557",9773.8
"42",2176,"Sabin2ref",2151,2201,"131557",10426.92
"43",2226,"Sabin2ref",2201,2251,"131557",10514.82
"44",2276,"Sabin2ref",2251,2301,"131557",9883.84
"45",2326,"Sabin2ref",2301,2351,"131557",8450.86
"46",2376,"Sabin2ref",2351,2401,"131557",6876.52
"47",2426,"Sabin2ref",2401,2451,"131557",5059.34
"48",2476,"Sabin2ref",2451,2501,"131557",4513.56
"49",2526,"Sabin2ref",2501,2551,"131557",4112.12
"50",2576,"Sabin2ref",2551,2601,"131557",3975.86
"51",2626,"Sabin2ref",2601,2651,"131557",3714.26
"52",2676,"Sabin2ref",2651,2701,"131557",3883.28
"53",2726,"Sabin2ref",2701,2751,"131557",4042.88
"54",2776,"Sabin2ref",2751,2801,"131557",4377.4
"55",2826,"Sabin2ref",2801,2851,"131557",4564.42
"56",2876,"Sabin2ref",2851,2901,"131557",4472.06
"57",2926,"Sabin2ref",2901,2951,"131557",4387.54
"58",2976,"Sabin2ref",2951,3001,"131557",4087.74
"59",3026,"Sabin2ref",3001,3051,"131557",3895.26
"60",3076,"Sabin2ref",3051,3101,"131557",4167.62
"61",3126,"Sabin2ref",3101,3151,"131557",4405.14
"62",3176,"Sabin2ref",3151,3201,"131557",4391.28
"63",3226,"Sabin2ref",3201,3251,"131557",4288.82
"64",3276,"Sabin2ref",3251,3301,"131557",5167.96
"65",3326,"Sabin2ref",3301,3351,"131557",6079.04
"66",3376,"Sabin2ref",3351,3401,"131557",6804.6
"67",3426,"Sabin2ref",3401,3451,"131557",7444.04
"68",3476,"Sabin2ref",3451,3501,"131557",7771.98
"69",3526,"Sabin2ref",3501,3551,"131557",7560.62
"70",3576,"Sabin2ref",3551,3601,"131557",7798.88
"71",3626,"Sabin2ref",3601,3651,"131557",8018.9
"72",3676,"Sabin2ref",3651,3701,"131557",7929.28
"73",3726,"Sabin2ref",3701,3751,"131557",7850.58
"74",3776,"Sabin2ref",3751,3801,"131557",7771.34
"75",3826,"Sabin2ref",3801,3851,"131557",7920.24
"76",3876,"Sabin2ref",3851,3901,"131557",7993.98
"77",3926,"Sabin2ref",3901,3951,"131557",7953.56
"78",3976,"Sabin2ref",3951,4001,"131557",7426.52
"79",4026,"Sabin2ref",4001,4051,"131557",6556.42
"80",4076,"Sabin2ref",4051,4101,"131557",5561.34
"81",4126,"Sabin2ref",4101,4151,"131557",4763.42
"82",4176,"Sabin2ref",4151,4201,"131557",4542.72
"83",4226,"Sabin2ref",4201,4251,"131557",4671.26
"84",4276,"Sabin2ref",4251,4301,"131557",4737.22
"85",4326,"Sabin2ref",4301,4351,"131557",4394.5
"86",4376,"Sabin2ref",4351,4401,"131557",4415.82
"87",4426,"Sabin2ref",4401,4451,"131557",4285.72
"88",4476,"Sabin2ref",4451,4501,"131557",4258.3
"89",4526,"Sabin2ref",4501,4551,"131557",4317.26
"90",4576,"Sabin2ref",4551,4601,"131557",4482.18
"91",4626,"Sabin2ref",4601,4651,"131557",4588.46
"92",4676,"Sabin2ref",4651,4701,"131557",4526.62
"93",4726,"Sabin2ref",4701,4751,"131557",4428.96
